Unnamed_0,MANDT,SPRAS,KTOPL,Unnamed_4,Unnamed_5,SAKNR,Unnamed_7,TXT20,Unnamed_9,TXT50,Unnamed_11,Unnamed_12,Unnamed_13,MCOD1
,800,1,4000,,,1002013510,,银行存款-人民币-南洋商业银行-一般户1,,银行存款-人民币-南洋商业银行-一般户1,,,,银行存款-人民币-南洋商业银行-一般户1
,800,1,4000,,,1002013610,,银行存款-人民币-德意志银行-一般户1,,银行存款-人民币-德意志银行-一般户1,,,,银行存款-人民币-德意志银行-一般户1
,800,1,4000,,,1002013611,,银行存款-人民币-德意志银行-一般户2,,银行存款-人民币-德意志银行-一般户2,,,,银行存款-人民币-德意志银行-一般户2
,800,1,4000,,,1002013710,,银行存款-人民币-大华银行-一般户1,,银行存款-人民币-大华银行-一般户1,,,,银行存款-人民币-大华银行-一般户1
,800,1,4000,,,1002013810,,银行存款-人民币-平安银行-一般户1,,银行存款-人民币-平安银行-一般户1,,,,银行存款-人民币-平安银行-一般户1
,800,1,4000,,,1002013811,,银行存款-人民币-平安银行-一般户2,,银行存款-人民币-平安银行-一般户2,,,,银行存款-人民币-平安银行-一般户2
,800,1,4000,,,1002013820,,银行存款-人民币-平安银行-专用户1,,银行存款-人民币-平安银行-专用户1,,,,银行存款-人民币-平安银行-专用户1
,800,1,4000,,,1002013830,,银行存款-人民币-平安银行-结构性存款,,银行存款-人民币-平安银行-结构性存款,,,,银行存款-人民币-平安银行-结构性存款
,800,1,4000,,,1002013910,,银行存款-人民币-国家开发银行-一般户1,,银行存款-人民币-国家开发银行-一般户1,,,,银行存款-人民币-国家开发银行-一般户1
,800,1,4000,,,1002014010,,银行存款-人民币-进出口银行-一般户1,,银行存款-人民币-进出口银行-一般户1,,,,银行存款-人民币-进出口银行-一般户1
,800,1,4000,,,1002014110,,银行存款-人民币-瑞穗银行-一般户1,,银行存款-人民币-瑞穗银行-一般户1,,,,银行存款-人民币-瑞穗银行-一般户1
,800,1,4000,,,1002014210,,银行存款-人民币-广发银行-一般户1,,银行存款-人民币-广发银行-一般户1,,,,银行存款-人民币-广发银行-一般户1
,800,1,4000,,,1002014310,,银行存款-人民币-浙商银行-一般户1,,银行存款-人民币-浙商银行-一般户1,,,,银行存款-人民币-浙商银行-一般户1
,800,1,4000,,,1002014510,,银行存款-人民币-成都农商银行-一般户1,,银行存款-人民币-成都农商银行-一般户1,,,,银行存款-人民币-成都农商银行-一般户1
,800,1,4000,,,1002014610,,银行存款-人民币-渣打银行-一般户1,,银行存款-人民币-渣打银行-一般户1,,,,银行存款-人民币-渣打银行-一般户1
,800,1,4000,,,1002014611,,银行存款-人民币-渣打银行-一般户2,,银行存款-人民币-渣打银行-一般户2,,,,银行存款-人民币-渣打银行-一般户2
,800,1,4000,,,1002014703,,银行存款-人民币-宁夏银行-保证金户,,银行存款-人民币-宁夏银行-保证金户,,,,银行存款-人民币-宁夏银行-保证金户
,800,1,4000,,,1002014710,,银行存款-人民币-宁夏银行-一般户1,,银行存款-人民币-宁夏银行-一般户1,,,,银行存款-人民币-宁夏银行-一般户1
,800,1,4000,,,1002014810,,银行存款-人民币-宁波银行-一般户1,,银行存款-人民币-宁波银行-一般户1,,,,银行存款-人民币-宁波银行-一般户1
,800,1,4000,,,1002014910,,银行存款-人民币-农村商业银行-一般户1,,银行存款-人民币-农村商业银行-一般户1,,,,银行存款-人民币-农村商业银行-一般户1
,800,1,4000,,,1002014920,,银行存款-人民币-农村商业银行-专用户1,,银行存款-人民币-农村商业银行-专用户1,,,,银行存款-人民币-农村商业银行-专用户1
